step,time,tokens_per_second,train_loss,val_loss
100,190.16157484054565,43079.15522296846,4.981220293045044,4.339921247110278
200,379.256769657135,43200.28358310351,4.535879629850387,3.868318199004182
300,568.6996378898621,43214.37603018052,4.23229585091273,3.3370878083787097
400,758.1199722290039,43222.71038930212,3.928278219103813,2.6688188642909285
500,947.2618334293365,43240.420498854095,3.6073054721355438,1.9695774722763628
600,1136.3597962856293,43253.90616656894,3.283606235384941,1.3809458655838627
700,1325.8870253562927,43249.53702943922,2.9808322471380233,0.9670036243211374
800,1515.2860498428345,43249.91971436508,2.711335262209177,0.688300888235724
900,1705.112562417984,43239.374118180145,2.4761773920059205,0.5112329097724182
1000,1894.6404559612274,43237.75508025806,2.274482658624649,0.41012948769903035
1100,2083.7315289974213,43245.494319201964,2.101263064471158,0.34838749140777825
1200,2273.3395574092865,43242.11034801502,1.952227088411649,0.2835654847024026
1300,2462.588419675827,43245.55380391947,1.8226386761092224,0.2534392763494338
1400,2652.04319357872,43245.147845890744,1.7093249436255011,0.22018394432385271
1500,2841.404834985733,43246.213452936914,1.6094925874968369,0.20250577707962356
1600,3030.479613304138,43251.2396468795,1.5209708560723811,0.1818846463234432
1700,3220.439767599106,43243.78347365389,1.4418932558157864,0.16832499210679494
1800,3410.245922803879,43239.11041546317,1.3708368019345734,0.1618733433285734
1900,164.0077760219574,36962.14988726149,0.14959572356294942,0.14742645478285504
2000,353.39193964004517,40335.045599848134,0.14503858640961265,0.13876360996219764
2100,543.002046585083,41337.00810367558,0.1411845195413071,0.13206832325403167
2200,732.8207252025604,41808.42455230952,0.1373659029284263,0.12481509781105231
2300,922.0858676433563,42111.13233872777,0.13395629978821247,0.11781520837047152
2400,1111.0918748378754,42320.60468164364,0.1306389388125325,0.11394888386361002
2500,1300.6876368522644,42449.91528759442,0.12734492717846918,0.1057725947108062
2600,1490.0547542572021,42552.852382668425,0.12400399993633424,0.09810019835783601
2700,1679.4857354164124,42630.95451790065,0.12059346585613366,0.09252319189693906
2800,1868.802627325058,42695.83038536759,0.11731934776143371,0.08690384447851417
2900,2058.0619468688965,42749.966848109005,0.11423871418534044,0.08292760010289703
3000,2247.406203508377,42793.36768309384,0.11145242672331085,0.08089440701177615
3100,2436.840826511383,42828.4354335166,0.10897587949126444,0.08094083446282721
3200,2626.1041026115417,42861.24068275362,0.1068065735786676,0.07872758808058482
3300,2815.81787443161,42882.77345507444,0.10464279193891114,0.07461841420584787
3400,3005.2619071006775,42905.438522793076,0.10270358447406767,0.07409292134245851
3500,3194.6913828849792,42925.6111356085,0.10088119332276935,0.07309427153861191
3600,3384.0187475681305,42944.82118470419,0.09921119573369638,0.07008009219409511
3700,138.27852368354797,28436.519968920078,0.06640450074337423,0.06744862776883985
3800,327.6836702823639,36999.58557456541,0.06524118992525178,0.06532103093139158
3900,517.2485620975494,39277.36389950276,0.06509321020735849,0.06711620060098429
4000,706.8220546245575,40332.86711058085,0.06495944097980685,0.06543357719900807
4100,896.0530943870544,40957.57297183909,0.06447909322534022,0.06391637553186978
4200,1085.6583943367004,41350.170766585885,0.06398359770431136,0.06250273424774501
4300,1275.1789662837982,41628.79203905079,0.06358803462030159,0.06188170893273486
4400,1464.852172613144,41830.95137217137,0.06323296567773755,0.06227173802699467
4500,1654.3554511070251,41991.072688468994,0.06284959671386289,0.05992610926736988
4600,1844.0209784507751,42114.57510925117,0.062402559432519385,0.05956139680770898
4700,2033.6731896400452,42215.31779901942,0.06198396702574296,0.060074379373537865
4800,2224.2967183589935,42280.402260981806,0.06158555282494021,0.0575506162278977
4900,2415.466586828232,42325.63619695816,0.06114680979711314,0.05713421250506082
5000,2606.187549829483,42371.53232016056,0.06077561377428848,0.056315674939576316
5100,2796.9552042484283,42410.4611399647,0.06041471837654463,0.05568815646664277
5200,2987.7339074611664,42444.26174744555,0.06004131025844073,0.05652348053621434
5300,3178.2809538841248,42477.10065877393,0.05968363238362939,0.053313443858188
5400,3368.572098493576,42509.453802113145,0.05933674034242704,0.054739727877980045
5500,113.67797493934631,15853.906624934143,0.050449333915656265,0.05356039276386931
5600,303.69864773750305,32908.411263781316,0.04972675467123751,0.0514682747031513
5700,493.45706486701965,36854.75656306787,0.049726438280698414,0.052361990772072375
5800,683.3777470588684,38599.79361857636,0.050003058225009014,0.05290318157051001
5900,873.5066349506378,39576.39085586749,0.049945467782882155,0.05112053248627636
6000,1063.1125853061676,40223.623152466804,0.049675559732078135,0.05017421296552608
6100,1252.747614622116,40673.9868471991,0.04942448313836116,0.0497349225699717
6200,1442.4304962158203,41004.56843859628,0.04919872717245629,0.04899456279335007
6300,1632.2642669677734,41254.496200601745,0.049130444099940815,0.050413085361106474
6400,1822.1769137382507,41450.55259483419,0.0491175647065399,0.05094767236165218
6500,2011.8479976654053,41614.595186690654,0.04896897975348097,0.048784038945801855
6600,2201.413303375244,41752.37782885909,0.04878566383239739,0.04801979504133526
6700,2390.9603972434998,41868.63158227585,0.048596109865681435,0.04688581020424241
6800,2580.5203654766083,41967.59748493513,0.0484016816189538,0.047266107733035606
6900,2769.9872555732727,42054.431754376914,0.04820397612802506,0.046136194788173254
7000,2959.589123249054,42128.226185371,0.04803698513113481,0.04801087156399485
7100,3149.1658301353455,42193.471911985434,0.04788682565010358,0.04677506599679082
7200,3338.818020105362,42250.353014312655,0.04775635793839736,0.047340846790617834
7300,3528.4411811828613,42301.467513754396,0.04757432514468349,0.04372649901653222
7400,185.75134205818176,42337.890606123896,0.041990087484009564,0.044261970571689194
7500,375.3292787075043,42779.28984195438,0.042154076756263266,0.04462320303354101
7600,564.8872101306915,42925.949756217604,0.04224456695688737,0.04568259759399544
7700,754.5883936882019,42990.74869339222,0.0422046859795698,0.04398957304310503
7800,944.3433046340942,43027.064204943825,0.04221775747775551,0.04438924506860252
7900,1133.8717877864838,43059.82433456046,0.04221691853748072,0.043911756272932326
8000,1323.6742453575134,43074.28372197448,0.04214452997642173,0.042906248797849975
8100,1513.2185208797455,43092.46754532822,0.04199728965478477,0.043040738766868786
8200,1702.4503166675568,43114.515167571335,0.04194598225876689,0.043690432186004914
8300,1892.3196985721588,43117.61911138224,0.041895048659160196,0.04222948718873709
8400,2082.055400133133,43122.925544756836,0.04170966297931915,0.04100819354179105
8500,2271.362205028534,43135.489259745416,0.041546921308049586,0.04245262242415372
8600,2460.831107378006,43143.27776566569,0.041493880194554356,0.04202447810870575
8700,2650.2079205513,43151.4520476607,0.041400486664755806,0.04110666871901267
8800,2840.000638484955,43152.21565068998,0.0412743848270393,0.041231929460084846
8900,3029.6692049503326,43154.65192911824,0.04121666782089792,0.04248262681182324
9000,3219.147837162018,43159.34745093455,0.04115976691070312,0.040622854172814374
9100,3408.5317299365997,43164.72066485256,0.0410550040481218,0.04078570033651387
9200,160.54676389694214,35717.94199278295,0.03642796277999878,0.03957332904816781
9300,349.9559545516968,39794.72221822915,0.036673341735320934,0.0396129660562096
9400,539.9556660652161,40963.36308716229,0.03656003923603782,0.039260305856403555
9500,729.51953291893,41548.44199815048,0.036700405704008565,0.03939436629829761
9600,919.8366324901581,41857.867625653584,0.03691434096941289,0.04085594833173988
9700,1110.3956995010376,42052.036063344254,0.037019655304519755,0.03920164169172753
9800,1300.4885160923004,42204.448036897935,0.03694789318451241,0.03888789338316342
9900,1491.341406583786,42296.41832616558,0.03703229773741264,0.03885561317759033
10000,1682.0158143043518,42372.01540787892,0.037025156993975586,0.03936677331525844
10100,1872.4728803634644,42437.143327050806,0.03702427996418525,0.03931291529407073
10200,2063.175482273102,42485.18885239313,0.03693218833166305,0.0380016114482016
10300,2253.6933891773224,42528.58905309533,0.036815051393758534,0.03709250622812439
10400,2444.2304360866547,42564.89014455245,0.03673191955826414,0.03737783992530392
10500,2634.561609506607,42599.26949327185,0.03666692153707038,0.03789400548065779
10600,2825.370988368988,42621.80099382866,0.03663031642078137,0.03817140796559145
10700,3015.669300556183,42648.70819100739,0.036588323621708115,0.03700163974296936
10800,3205.716423511505,42675.76476716048,0.036518050043168895,0.03710865702237876
10900,3396.075702905655,42695.868020827846,0.036428661417152924,0.036699603631769544
11000,135.45109224319458,26610.93343956478,0.03306841062889858,0.03621787562874079
11100,325.70405077934265,36218.40125037885,0.033322023525316685,0.03714217864922695
11200,515.8676278591156,38747.304386889904,0.03371470046733491,0.03839457212679157
11300,706.263189792633,39900.81942154469,0.03396073195455206,0.036169395254400126
11400,897.5132672786713,40525.84103885632,0.03381893954550227,0.03619451313380487
11500,1088.163808107376,40953.8340348869,0.03379042901660261,0.03577111435379406
11600,1279.0710756778717,41245.93308627556,0.03373610846096684,0.035994487015916836
11700,1469.7177784442902,41469.512646512674,0.033708633316720846,0.035566895208307095
11800,1660.2621335983276,41644.31543719552,0.03368765177973215,0.03592709154351946
11900,1850.829059123993,41782.61607617176,0.033661039611245745,0.03534613059539544
12000,2041.2799348831177,41897.477429962135,0.033623397974761285,0.03527619599742417
12100,2231.364266872406,41999.63286646953,0.033655424009669914,0.035527713815955556
12200,2421.728870153427,42080.87918345031,0.033694124624875775,0.035669477962118924
12300,2612.343841075897,42146.24364098065,0.03363912489675429,0.034815212832792625
12400,2803.1232373714447,42200.24236641328,0.03359167488585962,0.03424272748523453
12500,2993.9609167575836,42246.53678411436,0.033509322797995386,0.033916982761569806
12600,3184.3725776672363,42292.94051346825,0.033442916145770295,0.03483358735432012
12700,3375.0399408340454,42330.90052400805,0.0333682670623252,0.03418247910337551
12800,110.08370923995972,13394.897484656556,0.03115445716927449,0.03443942518887505
12900,300.4405162334442,32174.621855891837,0.0313559263723634,0.034875812072410674
13000,490.86482977867126,36381.82839062302,0.031595295064424704,0.033937475139465496
13100,681.1199927330017,38246.652980294755,0.03145589582832917,0.03358694814699169
13200,871.6558041572571,39284.497202547434,0.03133637181362895,0.03385462957339205
13300,1061.8771691322327,39961.83478987271,0.03136109633004458,0.03309642998703493
13400,1252.0584185123444,40434.66283318701,0.031395661614497694,0.03418846246743165
13500,1442.320476770401,40780.506792571294,0.03136953005883687,0.03322375691481419
13600,1632.2506701946259,41054.08637510917,0.03132533266785165,0.03261661865739815
13700,1822.1111071109772,41272.214250006065,0.03129968343785516,0.03343931790268274
13800,2012.1145446300507,41446.22890509099,0.03127587222163007,0.0329611265668559
13900,2201.8092391490936,41596.04672900471,0.031249356076241287,0.03289507555518726
14000,2391.678909778595,41719.04497382419,0.031211498497766617,0.0323451964628678
14100,2581.529596567154,41824.258045918294,0.031188640843833795,0.03245237326082246
14200,2771.3072681427,41916.16041113004,0.03111844909822697,0.03204094649122411
14300,2960.5718767642975,42003.56052017593,0.031077496866954487,0.03211459670873249
14400,3150.262496471405,42074.76683243533,0.031050294233608083,0.03214747805851901
14500,3339.679752111435,42141.33403390589,0.031026716837366745,0.031797751121153774
14600,3529.244917154312,42198.98689266517,0.0310004402107761,0.03178767887615936
14700,181.5664324760437,41508.99424096137,0.02817417290466635,0.03163156585750565
14800,371.35073828697205,42355.21402907576,0.02857784057656924,0.032414789343304676
14900,560.7687349319458,42656.8717368007,0.029014208475255394,0.03356775019790735
15000,750.3345816135406,42797.76087481411,0.02929314584661351,0.03191392850880468
15100,939.7102510929108,42890.497313533095,0.029332297630759518,0.031707230851561664
15200,1129.2061612606049,42947.551708237326,0.02933504301865862,0.031658515184195046
15300,1318.8588500022888,42983.09860824122,0.029365936646808605,0.03184980735321163
15400,1508.4320073127747,43011.975140717725,0.029345257398249072,0.03135014454554478
15500,1697.9275205135345,43036.37176332435,0.029335763501713363,0.031366935247791806
15600,1888.022908449173,43042.18960285338,0.02929944963374686,0.03115069692025982
15700,2077.762951374054,43054.30508366754,0.02925944960959283,0.031049628122118606
15800,2267.7997546195984,43058.75763549486,0.029228612985274436,0.03219564678868273
15900,2457.5867433547974,43066.898975667194,0.02925191465880572,0.031759692834626777
16000,2647.1917226314545,43076.83460367021,0.02930605031105679,0.031041572326015763
16100,2836.845315694809,43084.703746021616,0.029308620365910813,0.030493249332434254
16200,3027.1823053359985,43081.85858846865,0.029270264584496244,0.030197252297410656
16300,3217.904534101486,43074.19270245777,0.029233072146808564,0.030738431545141682
16400,3408.605824947357,43067.64922056284,0.029217238668934442,0.030479901657661786
16500,157.371160030365,34356.485641694235,0.027159641017064903,0.03049119159971413
16600,348.251424074173,39048.569682528134,0.027443350808896934,0.031408283196320476
16700,539.3012971878052,40405.46557856998,0.02762110144796228,0.0308328989212727
16800,730.3122415542603,41054.65894449527,0.027729383751220717,0.030688140443281123
16900,921.2443144321442,41438.21503368619,0.027708167014363752,0.03021869288278807
17000,1111.98432803154,41697.27830794111,0.027655253088095164,0.0295458142948409
17100,1303.0300424098969,41870.65395598711,0.027595293741706793,0.030455306143537395
17200,1493.8677752017975,42005.538268956494,0.027659940902951024,0.030589024129759047
17300,1684.7130343914032,42109.67598148121,0.02767335752124186,0.02967403469255465
17400,1874.9847621917725,42205.52699718748,0.02766478689692097,0.02973905544232104
17500,2065.177141189575,42285.34117402559,0.027718678735350354,0.03052886296351997
17600,2255.0261313915253,42358.1432916955,0.027758406077417357,0.029823309946632237
17700,2445.269762277603,42412.792895046674,0.027755607182886836,0.03048235695267056
17800,2634.9663939476013,42468.36705661047,0.02776215181960063,0.029591409437612116
17900,2824.842540502548,42513.774937216425,0.027739424186048453,0.0291821293636649
18000,3014.536708831787,42556.031785631996,0.027707836403967016,0.029060550460782212
18100,3204.4962372779846,42589.75823168074,0.027680242852288848,0.030298604269514882
18200,3394.280373573303,42621.91218096075,0.02767874228336668,0.029227582362967748
